common_name,scientific_name,conservation_status
Sago Pondweed,Stuckenia pectinata,N
"Mud Plantain, Kidneyleaf Mud Plantain",Heteranthera reniformis,N
American Bur-reed,Sparganium americanum,N
"Bristly Greenbrier, Chinaroot",Smilax hispida,N
"Red-berried Greenbrier, Coral Greenbrier",Smilax walteri,N
"Common Greenbrier, Bullbrier, Horsebrier",Smilax rotundifolia,N
"Hairy Carrion-flower, Downy Carrion-flower",Smilax pulverulenta,N
"Laurel-leaf Greenbrier, Bamboo-vine, Blaspheme-vine",Smilax laurifolia,N
Coastal Carrion-flower,Smilax pseudochina,N
"Upright Carrion-flower, Upright Greenbrier",Smilax ecirrata,N
"Carrion-flower, Common Carrion-flower, Smooth Carrion-flower",Smilax herbacea,N
"Catbrier, Fringed Greenbrier",Smilax bona-nox,N
"White-leaf Greenbrier, Sawbrier",Smilax glauca,N
"Wigeon-grass, Ditch-grass",Ruppia maritima,N
"Smooth Rose, Meadow Rose",Rosa blanda,N
Summer Sedge,Carex aestivalis,N
Small-fruited Summer Sedge,Carex aestivaliformis,N
Thicket Sedge,Carex abscondita,N
Elliott's Hairsedge,Bulbostylis coarctata,N
River Bulrush,Bolboschoenus fluviatilis,N
"White Baneberry, Dolls'-eyes",Actaea pachypoda,N
Blue Monkshood,Aconitum uncinatum,N
Common Hairsedge,Bulbostylis capillaris,N
Saltmarsh Bulrush,Bolboschoenus robustus,N
New England Bulrush,Bolboschoenus novae-angliae,N
Common Ragweed,Ambrosia artemisiifolia,N
Low Braya,Braya humilis,N
"Pineweed, Orange-grass",Hypericum gentianoides,N
"Golden St. John's-wort, Cedar Glade St. John's-wort",Hypericum frondosum,N
Bushy St. John's-wort,Hypericum densiflorum,N
Lake Cress,Neobeckia aquatica,N
Bushy Aster,Symphyotrichum dumosum,N
"Sweet Birch, Black Birch",Betula lenta,N
Japanese Barberry,Berberis thunbergii,N
"Hoary Alyssum, Hoary False Alyssum",Berteroa incana,N
"Smooth Alder, Hazel Alder",Alnus serrulata,N
"Pale Alyssum, Yellow Alyssum",Alyssum alyssoides,N
"Basket-of-gold, Gold-dust",Aurinia saxatilis,N
Small Bugloss,Anchusa arvensis,N
Mouse-ear Cress,Arabidopsis thaliana,N
"Sicklepod, Canada Rock Cress",Borodinia canadensis,N
Tower Mustard,Turritis glabra,N
Hoary Cress,Lepidium draba,N
Pennsylvania Bittercress,Cardamine pensylvanica,N
Cuckoo-flower,Cardamine pratensis,N
"Small-flowered Bittercress, Sand Bittercress",Cardamine parviflora,N
"Panicled Aster, Eastern Lined Aster",Symphyotrichum lanceolatum,N
Lyre-leaf Rock Cress,Arabidopsis lyrata,N
Spreading Rock Cress,Arabis patens,N
Shale Barren Rock Cress,Borodinia serotina,N
Short's Rock Cress,Borodinia dentata,N
Early Winter Cress,Barbarea verna,N
"Common Winter Cress, Yellow Rocket",Barbarea vulgaris,N
"Leatherleaf Mahonia, Chinese Mahonia, Holly-grape",Mahonia bealei,N
Japanese Hops,Humulus japonicus,N
Common Hops,Humulus lupulus,N
Nettleleaf Goosefoot,Chenopodiastrum murale,N
Gray Goosefoot,Chenopodium opulifolium,N
"Canada Frostweed, Canada Sunrose",Crocanthemum canadense,N
Low Frostweed,Crocanthemum propinquum,N
"Wild Radish, Jointed Charlock, White Charlock",Raphanus raphanistrum,N
Radish,Raphanus sativus,N
"Canada Thistle, Field Thistle",Cirsium arvense,N
Eastern Wahoo,Euonymus atropurpureus,N
"Strawberry-bush, American Strawberry-bush, Heart's-a-bustin'",Euonymus americanus,N
Orange-eye Butterfly-bush,Buddleja davidii,N
Corn-gromwell,Buglossoides arvensis,N
Southern Warty-cabbage,Bunias erucago,N
Northern Bush-honeysuckle,Diervilla lonicera,N
Garden Pink,Dianthus plumarius,N
"Maiden Pink, Meadow Pink",Dianthus deltoides,N
Sweet William,Dianthus barbatus,N
Slender Toothwort,Cardamine angustata,N
"Spring Cress, Bulbous Bittercress",Cardamine bulbosa,N
Winged Pigweed,Dysphania atriplicifolia,N
Smartweed Dodder,Cuscuta polygonorum,N
Beaked Dodder,Cuscuta rostrata,N
"Big-seed Alfalfa Dodder, Large-seed Dodder, Pretty Dodder",Cuscuta indecora,N
Common Dodder,Cuscuta gronovii,N
Buttonbush Dodder,Cuscuta cephalanthi,N
Roundleaf Dogwood,Swida rugosa,N
Silky Dogwood,Swida amomum,N
"Bunchberry, Dwarf Cornel, Dwarf Dogwood",Chamaepericlymenum canadense,N
Flowering Dogwood,Benthamidia florida,N
"Stiff Dogwood, Swamp Dogwood",Swida foemina,N
Silky Dogwood,Swida obliqua,N
"Maple-leaf Goosefoot, Giant-seed Goosefoot",Chenopodiastrum simplex,N
"Gold-of-pleasure, False Flax",Camelina sativa,N
European Sea Rocket,Cakile maritima,N
Field Bindweed,Convolvulus arvensis,N
"Sweet Pepperbush, Coastal White-alder",Clethra alnifolia,N
Narrowleaf Goosefoot,Chenopodium pratericola,N
"Clasping Heliotrope, Wild Heliotrope",Heliotropium amplexicaule,N
Seaside Heliotrope,Heliotropium curassavicum,N
European Heliotrope,Heliotropium europaeum,N
Indian Heliotrope,Heliotropium indicum,N
Dame's Rocket,Hesperis matronalis,N
Annual Candytuft,Iberis amara,N
Garden Balsam,Impatiens balsamina,N
"Orange Jewelweed, Spotted Jewelweed",Impatiens capensis,N
"Yellow Jewelweed, Pale Jewelweed",Impatiens pallida,N
Dyer's Woad,Isatis tinctoria,N
Twinleaf,Jeffersonia diphylla,N
"Field Pepperweed, Field Peppergrass, Cow Cress",Lepidium campestre,N
"Garlic Mustard, Hedge Garlic",Alliaria petiolata,N
Speckled Alder,Alnus incana,N
Frost Aster,Symphyotrichum pilosum,N
"Smooth Blue Aster, Smooth Aster",Symphyotrichum laeve,N
"American Barberry, Allegheny Barberry",Berberis canadensis,N
Smooth Rock Cress,Borodinia laevigata,N
Soft Golden-aster,Bradburia pilosa,N
Turkish Rocket,Bunias orientalis,N
Common Boxwood,Buxus sempervirens,N
American Sea Rocket,Cakile edentula,N
Field Pennycress,Thlaspi arvense,N
Common Comfrey,Symphytum officinale,N
"Common Shepherd's Cress, Bank Cress",Teesdalia nudicaulis,N
Tall Tumble Mustard,Sisymbrium altissimum,N
Marsh-elder,Iva frutescens,N
"Stalkless Yellow Cress, Sessile-flowered Yellow Cress",Rorippa sessiliflora,N
Variable-leaf Yellow Cress,Rorippa indica,N
Marsh Yellow Cress,Rorippa palustris,N
"Grass-leaf Blazing Star, Grass-leaf Gayfeather",Liatris pilosa,N
