common_name,scientific_name,category
Eastern Tent Caterpillar Moth,Malacosoma americana,Other Moths
Eastern Tiger Salamander,Ambystoma tigrinum,Amphibians
Eastern Tiger Swallowtail,Pterourus glaucus,Butterflies and Skippers
Eastern Towhee,Pipilo erythrophthalmus,Birds
Eastern Warbling-Vireo,Vireo gilvus,Birds
Eastern Water Shrew,Sorex albibarbis,Mammals
Eastern Whip-Poor-Will,Antrostomus vociferus,Birds
Eastern Willowfly,Taeniopteryx burksi,Stoneflies
Eastern Wood-Pewee,Contopus virens,Birds
Eastern Woodland Jumping Mouse,Napaeozapus insignis,Mammals
Ebony Jewelwing,Calopteryx maculata,Dragonflies and Damselflies
Edged Saddlecase Caddisfly,Culoptila cantha,Caddisflies
Edwards' Hairstreak,Satyrium edwardsii,Butterflies and Skippers
Effective Euchlaenmoth,Euchlaena effecta,Other Moths
Elegant Prominent Moth,Pheosidea elegans,Notodontid Moths
Elegant Small Square-Gilled Mayfly,Brachycercus nitidus,Mayflies
Elephantear,Elliptio crassidens,Freshwater Mussels
Elktoe,Alasmidonta marginata,Freshwater Mussels
Ellett Valley Cave Beetle,Pseudanophthalmus pusio,Ground Beetles
Elm Sphinx Moth,Ceratomia amyntor,Sphinx Moths
Elm Trumpet-Net Caddisfly,Nyctiophylax celta,Caddisflies
Embossed Stone,Paragnetina media,Stoneflies
Emerald Flower Scarab,Trichiotinus lunulatus,Hairy Flower Scarabs
Emerald Shiner,Notropis atherinoides,"Fishes - Freshwater and Anadromous Bony, Cartilaginous; Lampreys"
Emigrating Microcaddisfly,Hydroptila metoeca,Caddisflies
Empty Microcaddisfly,Oxyethira zeronia,Caddisflies
Entwined Microcaddisfly,Hydroptila ampoda,Caddisflies
Ephemeral Cave Amphipod,Stygobromus ephemerus,Amphipods
Epione Underwing,Catocala epione,Underwing Moths
Esther Moth,Hypagyrtis esther,Other Moths
Ethologist Fairy Shrimp,Eubranchipus serratus,"Fairy, Clam, and Tadpole Shrimps"
Eupatorium Borer Moth,Papaipema eupatorii,Papaipema Moths
Eurasian Wigeon,Mareca penelope,Birds
European Skipper,Thymelicus lineola,Butterflies and Skippers
European Starling,Sturnus vulgaris,Birds
Evansville Snowfly,Allocapnia frisoni,Stoneflies
Evening Bat,Nycticeius humeralis,Mammals
Evening Grosbeak,Coccothraustes vespertinus,Birds
Evening Primrose Moth,Schinia florida,Other Moths
Exaggerated Microcaddisfly,Hydroptila grandiosa,Caddisflies
Excentric Ancylid,Hebetancylus excentricus,Freshwater Snails
Exhausted Brocade Moth,Neoligia exhausta,Other Moths
Exposed Net-Spinning Caddisfly,Cheumatopsyche pasella,Caddisflies
Exquisite Long-Horned Caddisfly,Nectopsyche exquisita,Caddisflies
Eyed Giant Caddisfly,Ptilostomis ocellifera,Caddisflies
Failed Northern Caddisfly,Frenesia missa,Caddisflies
Faint-Spotted Angle Moth,Digrammia ocellinata,Other Moths
Fairchild'S Firefly,Photuris fairchildi,Fireflies and Glow-worms
Faithful Hood Caddisfly,Molanna uniophila,Caddisflies
Falcate Orangetip,Anthocharis midea,Butterflies and Skippers
Fallfish,Semotilus corporalis,"Fishes - Freshwater and Anadromous Bony, Cartilaginous; Lampreys"
False Crocus Geometer Moth,Xanthotype urticaria,Other Moths
False Map Turtle,Graptemys pseudogeographica,Turtles
False Underwing Moth,Allotria elonympha,Other Moths
Fanshell,Cyprogenia stegaria,Freshwater Mussels
Fantail Darter,Etheostoma flabellare,"Fishes - Freshwater and Anadromous Bony, Cartilaginous; Lampreys"
Fasciated Northern Caddisfly,Pycnopsyche subfasciata,Caddisflies
Fat-Horned Trumpet-Net Caddisfly,Plectrocnemia crassicornis,Caddisflies
Fathead Minnow,Pimephales promelas,"Fishes - Freshwater and Anadromous Bony, Cartilaginous; Lampreys"
Fatlips Minnow,Phenacobius crassilabrum,"Fishes - Freshwater and Anadromous Bony, Cartilaginous; Lampreys"
Fawn Darner,Boyeria vinosa,Dragonflies and Damselflies
Fawn Sphinx Moth,Sphinx kalmiae,Sphinx Moths
Fearful Long-Horned Caddisfly,Nectopsyche pavida,Caddisflies
Felt'S Mason Bee,Osmia felti,Mason Bees
Ferruginous Eulimoth,Eulia ministrana,Other Moths
Ferryman Humpless Caddisfly,Micrasema charonis,Caddisflies
Festive Tiger Beetle,Cicindela scutellaris,Tiger Beetles
Field Sparrow,Spizella pusilla,Birds
Fiery Long-Horned Caddisfly,Triaenodes ignitus,Caddisflies
Fiery Skipper,Hylephila phyleus,Butterflies and Skippers
Figured Tiger Moth,Apantesis figurata,Tiger Moths
Figwort Borer Moth,Hydraecia stramentosa,Other Moths
File Thorn Snail,Carychium nannodes,Terrestrial Snails
Fillet Dart Moth,Euxoa redimicula,Other Moths
Fin Whale,Balaenoptera physalus,Mammals
Fine Striped Sweat Bee,Agapostemon subtilior,Striped Sweat Bees
Fine-Ribbed Striate Snail,Striatura milium,Terrestrial Snails
Fine-Ridged Elimia,Elimia semicarinata,Freshwater Snails
Finerayed Pigtoe,Fusconaia cuneolus,Freshwater Mussels
Finley'S Cave Amphipod,Stygobromus finleyi,Amphipods
Firefly,Pyractomena similis,Fireflies and Glow-worms
Fish Crow,Corvus ossifragus,Birds
Fisher,Pekania pennanti,Mammals
Fiske'S Microcaddisfly,Hydroptila fiskei,Caddisflies
Five-Spotted Hawk Moth,Manduca quinquemaculatus,Sphinx Moths
Five-Tooth Vertigo Snail,Vertigo ventricosa,Terrestrial Snails
Flamed Tigersnail,Anguispira alternata,Terrestrial Snails
Flannel Moth,Norape cretata,Other Moths
Flapped Cleft-Footed Minnow Mayfly,Siphloplecton basale,Mayflies
Flat Bark Beetle,Hemipeplus microphthalmus,Other Beetles
Flat Bladetooth Snail,Patera appressa,Terrestrial Snails
Flat Bullhead,Ameiurus platycephalus,"Fishes - Freshwater and Anadromous Bony, Cartilaginous; Lampreys"
Flat Button,Mesomphix subplanus,Terrestrial Snails
Flat Dome Snail,Ventridens suppressus,Terrestrial Snails
Flat-Headed Mayfly,Heptagenia dolosa,Mayflies
Flat-Headed Salamander,Desmognathus planiceps,Amphibians
Flat-Horned Ground Beetle,Helluomorphoides nigripennis,Ground Beetles
Flathead Catfish,Pylodictis olivaris,"Fishes - Freshwater and Anadromous Bony, Cartilaginous; Lampreys"
Flavid Cuckoo Bumble Bee,Bombus flavidus,Bumble Bees
Flecked Northern Caddisfly,Pycnopsyche guttifera,Caddisflies
Flexed Gyro,Gyraulus deflectus,Freshwater Snails
Flier,Centrarchus macropterus,"Fishes - Freshwater and Anadromous Bony, Cartilaginous; Lampreys"
Flightless Darkling Beetle,Helops sulcipennis,Other Beetles
Floridcernotinan Caddisfly,Cernotina truncona,Caddisflies
Floridcrangonyctid,Crangonyx floridanus,Amphipods
Floridian Finger-Net Caddisfly,Chimarra florida,Caddisflies
Flower Beetle,Pseudotolida syphaxi,Other Beetles
Fluted Kidneyshell,Ptychobranchus subtentus,Freshwater Mussels
Flutedshell,Lasmigona costata,Freshwater Mussels
Foolish Net-Spinning Caddisfly,Hydropsyche morosa,Caddisflies
Footed Microcaddisfly,Ochrotrichia tarsalis,Caddisflies
Forced Microcaddisfly,Oxyethira coercens,Caddisflies
Forceps Microcaddisfly,Oxyethira forcipata,Caddisflies
Foremost Northern Caddisfly,Pycnopsyche antica,Caddisflies
Forest Disc Snail,Discus whitneyi,Terrestrial Snails
Forest Tent Caterpillar Moth,Malacosoma disstria,Other Moths
Forkshell,Epioblasma lewisii,Freshwater Mussels
Forster'S Tern,Sterna forsteri,Birds
Foster Mantleslug,Pallifera fosteri,Terrestrial Snails
Four-Lined Chocolate Moth,Argyrostrotis quadrifilaris,Other Moths
Four-Lined Cream Moth,Cabera quadrifasciaria,Other Moths
Four-Spotted Pennant,Brachymesia gravida,Dragonflies and Damselflies
Four-Toed Salamander,Hemidactylium scutatum,Amphibians
Fourspine Stickleback,Apeltes quadracus,"Fishes - Freshwater and Anadromous Bony, Cartilaginous; Lampreys"
Fowler'S Toad,Anaxyrus fowleri,Amphibians
Fox Sparrow,Passerella iliaca,Birds
Fragile Ancylid,Ferrissia californica,Freshwater Snails
Fragile Flat-Headed Mayfly,Epeorus fragilis,Mayflies
Fragile Papershell,Potamilus fragilis,Freshwater Mussels
Fragile Prong-Gilled Mayfly,Paraleptophlebia debilis,Mayflies
Fragile Small Minnow Mayfly,Procloeon fragile,Mayflies
Franck'S Sphinx,Sphinx franckii,Sphinx Moths
Franclemont'S Cane Moth,Franclemontia interrogans,Other Moths
Franclemont'S Net-Spinning Caddisfly,Hydropsyche franclemonti,Caddisflies
Freckled Stone,Perlesta placida,Stoneflies
Free-Living Caddisfly,Rhyacophila mycta,Caddisflies
Fresh Flat-Headed Mayfly,Maccaffertium meririvulanum,Mayflies
Freshwater Amphipod,Crangonyx acicularis,Amphipods
Freshwater Drum,Aplodinotus grunniens,"Fishes - Freshwater and Anadromous Bony, Cartilaginous; Lampreys"
Friendly Mason Bee,Osmia proxima,Mason Bees
Friendly Probole Moth,Probole amicaria,Other Moths
Friendly Small Square-Gilled Mayfly,Caenis amica,Mayflies
Frigid Leafcutter Bee,Megachile frigida,Leafcutter Bees
Fringed Loosestrife Oil-Collecting Bee,Macropis ciliata,Oil-collecting Bees
Frison'S Serratellan Mayfly,Serratella frisoni,Mayflies
Frogtown Springfly,Yugus kirchneri,Stoneflies
Frontal Mortarjoint Caddisfly,Psilotreta frontalis,Caddisflies
Frosted Elfin,Callophrys irus,Butterflies and Skippers
Fumose Forestfly,Zapada fumosa,Stoneflies
Funerary Dagger Moth,Acronicta funeralis,Other Moths
Funnel Supercoil,Paravitrea mira,Terrestrial Snails
Furrowed Glyph Snail,Glyphyalinia luticola,Terrestrial Snails
Gadwall,Mareca strepera,Birds
Gammon'S Stenelmis Riffle Beetle,Stenelmis gammoni,Other Beetles
Gap Cave Isopod,Lirceus zigleri,Isopods
Garden Cave Beetle,Pseudanophthalmus hortulanus,Ground Beetles
Gemmed Satyr,Cyllopsis gemma,Butterflies and Skippers
Gentle Bizarre Caddisfly,Lepidostoma modestum,Caddisflies
Gentle Net-Spinning Caddisfly,Diplectrona modesta,Caddisflies
Geometrid Moth,Homochlodes fritillaria,Other Moths
George'S Midget Moth,Elaphria georgei,Other Moths
Georgian Prominent,Paraeschra georgica,Notodontid Moths
Georgibrush-Legged Mayfly,Isonychia georgiae,Mayflies
Georgimason Bee,Osmia georgica,Mason Bees
Georgisatyr,Neonympha areolatus,Butterflies and Skippers
German Cousin Moth,Sideridis congermana,Other Moths
Ghost Tiger Beetle,Ellipsoptera lepida,Tiger Beetles
Giant Floater,Pyganodon grandis,Freshwater Mussels
Giant Gardenslug,Limax maximus,Terrestrial Snails
Giant Gray Moth,Cymatophora approximaria,Other Moths
Giant Leafcutter Bee,Megachile sculpturalis,Leafcutter Bees
Giant Northern Peaclam,Pisidium idahoense,Other Molluscs
Giant Stone,Attaneuria ruralis,Stoneflies
Giant Swallowtail,Heraclides cresphontes,Butterflies and Skippers
Gildersleeve'S Stenacron Mayfly,Stenacron gildersleevei,Mayflies
Gilt Darter,Percina evides,"Fishes - Freshwater and Anadromous Bony, Cartilaginous; Lampreys"
Girlfriend Underwing,Catocala amica,Underwing Moths
Gizzard Shad,Dorosoma cepedianum,"Fishes - Freshwater and Anadromous Bony, Cartilaginous; Lampreys"
Glade Paectes Moth,Paectes abrostolella,Other Moths
Glass Spot Snail,Punctum vitreum,Terrestrial Snails
Glassy Darter,Etheostoma vitreum,"Fishes - Freshwater and Anadromous Bony, Cartilaginous; Lampreys"
Glassy Flat-Headed Mayfly,Epeorus vitreus,Mayflies
Glassy Grapeskin,Vitrinizonites latissimus,Terrestrial Snails
Glaucous Gull,Larus hyperboreus,Birds
Globose Dome Snail,Ventridens ligera,Terrestrial Snails
Gloomy-Winged Northern Caddisfly,Pycnopsyche scabripennis,Caddisflies
Glossy Covert,Fumonelix christyi,Terrestrial Snails
Glossy Dome,Ventridens acerra,Terrestrial Snails
Glossy Ibis,Plegadis falcinellus,Birds
Glossy Physa,Physella pomilia,Freshwater Snails
Glossy Pillar Snail,Cochlicopa lubrica,Terrestrial Snails
Glossy Supercoil,Paravitrea placentula,Terrestrial Snails
Glossy Swampsnake,Liodytes rigida,Reptiles
Goatweed Leafwing,Anaea andria,Butterflies and Skippers
Gold-Spotted Ghost Moth,Sthenopis pretiosus,Other Moths
Golden Ambersnail,Succinea wilsoni,Terrestrial Snails
Golden Darter,Nothonotus denoncourti,"Fishes - Freshwater and Anadromous Bony, Cartilaginous; Lampreys"
Golden Dome,Ventridens arcellus,Terrestrial Snails
Golden Eagle,Aquila chrysaetos,Birds
Golden Fossaria,Galba obrussa,Freshwater Snails
Golden Mouse,Ochrotomys nuttalli,Mammals
Golden Redhorse,Moxostoma erythrurum,"Fishes - Freshwater and Anadromous Bony, Cartilaginous; Lampreys"
Golden Riffleshell,Epioblasma aureola,Freshwater Mussels
Golden Shiner,Notemigonus crysoleucas,"Fishes - Freshwater and Anadromous Bony, Cartilaginous; Lampreys"
Golden-Banded Skipper,Telegonus cellus,Butterflies and Skippers
Golden-Crowned Kinglet,Regulus satrapa,Birds
Golden-Winged Warbler,Vermivora chrysoptera,Birds
Goldfish,Carassius auratus,"Fishes - Freshwater and Anadromous Bony, Cartilaginous; Lampreys"
Graceful Fossaria,Galba exigua,Freshwater Snails
Graceful Underwing,Catocala gracilis,Underwing Moths
Grand Arches Moth,Lacanobia grandis,Other Moths
Grand Globe,Mesodon normalis,Terrestrial Snails
Grand Prong-Gilled Mayfly,Leptophlebia intermedia,Mayflies
Granite Moth,Macaria granitata,Other Moths
Granitosfern Moth,Callopistria granitosa,Other Moths
Graphic Moth,Drasteria graphica,Other Moths
Grass Carp,Ctenopharyngodon idella,"Fishes - Freshwater and Anadromous Bony, Cartilaginous; Lampreys"
Grass Skipper,Atalopedes huron,Butterflies and Skippers
Grasshopper Sparrow,Ammodramus savannarum,Birds
Grassroot Beetle,Brathinus nitidus,Other Beetles
Gravel Elimia,Elimia catenaria,Freshwater Snails
Gray Catbird,Dumetella carolinensis,Birds
Gray Comma,Polygonia progne,Butterflies and Skippers
Gray Fox,Urocyon cinereoargenteus,Mammals
Gray Furculmoth,Furcula cinerea,Notodontid Moths
Gray Hairstreak,Strymon melinus,Butterflies and Skippers
Gray Myotis,Myotis grisescens,Mammals
Gray Sallow Moth,Psaphida grandis,Other Moths
Gray Spring Zale,Zale submediana,Other Moths
Gray Treefrog,Dryophytes versicolor,Amphibians
Gray Wolf,Canis lupus,Mammals
Gray-Cheeked Thrush,Catharus minimus,Birds
Gray-Foot Lancetooth Snail,Haplotrema concavum,Terrestrial Snails
Gray-Green Clubtail,Arigomphus pallidus,Dragonflies and Damselflies
Gray-Hooded Owlet Moth,Cucullia florea,Other Moths
Gray-Patched Prominent,Dasylophia thyatiroides,Notodontid Moths
Grayson Crayfish Ostracod,Ascetocythere cosmeta,Other Crustaceans
Great Ash Sphinx Moth,Sphinx chersis,Sphinx Moths
Great Black-Backed Gull,Larus marinus,Birds
Great Blue Heron,Ardea herodias,Birds
Great Cormorant,Phalacrocorax carbo,Birds
Great Crested Flycatcher,Myiarchus crinitus,Birds
Great Egret,Ardea alba,Birds
Great Horned Owl,Bubo virginianus,Birds
Great Lakes Armored Mayfly,Baetisca lacustris,Mayflies
Great Lakes Springfly,Cultus decisus,Stoneflies
Great Purple Hairstreak,Atlides halesus,Butterflies and Skippers
Great Shearwater,Ardenna gravis,Birds
Great Skua,Stercorarius skua,Birds
Great Spangled Fritillary,Argynnis cybele,Butterflies and Skippers
Great Spreadwing,Archilestes grandis,Dragonflies and Damselflies
Great Tiger Moth,Arctia caja,Tiger Moths
Greater Black-Lettered Dart,Xestia dolosa,Other Moths
Greater Eastern Peaclam,Pisidium dubium,Other Molluscs
Greater Idimoth,Idia majoralis,Other Moths
Greater Scaup,Aythya marila,Birds
Greater Siren,Siren lacertina,Amphibians
Greater White-Fronted Goose,Anser albifrons,Birds
Greater Yellowlegs,Tringa melanoleuca,Birds
Greedy Long-Horned Caddisfly,Oecetis avara,Caddisflies
Green Arches Moth,Anaplectoides prasina,Other Moths
Green Blossom,Epioblasma gubernaculum,Freshwater Mussels
Green Cloverworm Moth,Hypena scabra,Other Moths
Green Comma,Polygonia faunus,Butterflies and Skippers
Green Floater,Lasmigona subviridis,Freshwater Mussels
Green Frog,Lithobates clamitans,Amphibians
Green Gloss,Zonitoides elliotti,Terrestrial Snails
Green Heron,Butorides virescens,Birds
Green Pitcher Plant Moth,Exyra ridingsii,Other Moths
Green Salamander,Aneides aeneus,Amphibians
Green Seturtle,Chelonia mydas,Turtles
Green Sunfish,Lepomis cyanellus,"Fishes - Freshwater and Anadromous Bony, Cartilaginous; Lampreys"
Green Treefrog,Dryophytes cinereus,Amphibians
Green-Patched Looper Moth,Diachrysia balluca,Other Moths
Green-Striped Darner,Aeshna verticalis,Dragonflies and Damselflies
Green-Winged Teal,Anas crecca,Birds
Greenfin Darter,Nothonotus chlorobranchius,"Fishes - Freshwater and Anadromous Bony, Cartilaginous; Lampreys"
Greenhouse Slug,Milax gagates,Terrestrial Snails
Greenside Darter,Etheostoma blennioides,"Fishes - Freshwater and Anadromous Bony, Cartilaginous; Lampreys"
Grey Bizarre Caddisfly,Lepidostoma griseum,Caddisflies
Grey Bush-Tailed Caddisfly,Agarodes griseus,Caddisflies
Grey Microcaddisfly,Oxyethira grisea,Caddisflies
Grey Trumpet-Net Caddisfly,Plectrocnemia cinerea,Caddisflies
Grim Free-Living Caddisfly,Rhyacophila torva,Caddisflies
Grooved Fingernailclam,Sphaerium simile,Other Molluscs
Grote'S Black-Tipped Quaker,Dichagyris grotei,Other Moths
Ground Beetle,Chlaenius augustus,Ground Beetles
Grovesnail,Cepaea nemoralis,Terrestrial Snails
Gull-Billed Tern,Gelochelidon nilotica,Birds
Habilis Underwing,Catocala habilis,Underwing Moths
Hackberry Emperor,Asterocampa celtis,Butterflies and Skippers
Hagen'S Net-Spinning Caddisfly,Hydropsyche hageni,Caddisflies
Hagen'S Small Minnow Mayfly,Diphetor hageni,Mayflies
Hairy Flower Scarab,Trichiotinus affinis,Hairy Flower Scarabs
Hairy Minute Rove Beetle,Trichiusa hirsuta,Other Beetles
Hairy Prong-Gilled Mayfly,Paraleptophlebia volitans,Mayflies
Hairy Slitmouth Snail,Stenotrema hirsutum,Terrestrial Snails
Hairy Woodpecker,Dryobates villosus,Birds
Hairy-Necked Tiger Beetle,Cicindela hirticollis,Tiger Beetles
Hairy-Tailed Mole,Parascalops breweri,Mammals
Half-Black Bumble Bee,Bombus vagans,Bumble Bees
Half-Girdled Giant Caddisfly,Ptilostomis semifasciata,Caddisflies
Halloween Pennant,Celithemis eponina,Dragonflies and Damselflies
Handy Microcaddisfly,Stactobiella palmata,Caddisflies
Hanging Rock Threetooth,Triodopsis pendula,Terrestrial Snails
Harbor Porpoise,Phocoena phocoena,Mammals
Harelip Sucker,Moxostoma lacerum,"Fishes - Freshwater and Anadromous Bony, Cartilaginous; Lampreys"
Harlequin Duck,Histrionicus histrionicus,Birds
Harnessed Tiger Moth,Apantesis phalerata,Tiger Moths
Harping Northern Caddisfly,Ironoquia lyrata,Caddisflies
Harris'S Checkerspot,Chlosyne harrisii,Butterflies and Skippers
Harvester,Feniseca tarquinius,Butterflies and Skippers
Harwood'S Net-Spinning Caddisfly,Cheumatopsyche harwoodi,Caddisflies
Hawthorn Underwing,Catocala crataegi,Underwing Moths
Hayhurst'S Scallopwing,Staphylus hayhurstii,Butterflies and Skippers
Hebard'S Noctuid Moth,Psectrotarsia hebardi,Other Moths
Hebe'S Flat-Headed Mayfly,Leucrocuta hebe,Mayflies
Hebrew Moth,Polygrammate hebraeicum,Other Moths
Helictsatyr,Neonympha helicta,Butterflies and Skippers
Hellbender,Cryptobranchus alleganiensis,Amphibians
Hendrickson'S Spiny Crawler Mayfly,Ephemerella subvaria,Mayflies
Henrot'S Cave Isopod,Pseudobaicalasellus henroti,Isopods
Henry'S Elfin,Callophrys henrici,Butterflies and Skippers
Henscomb Hydrobe,Littoridinops tenuipes,Freshwater Snails
Henslow'S Sparrow,Centronyx henslowii,Birds
Hermit Sphinx Moth,Lintneria eremitus,Sphinx Moths
Hermit Thrush,Catharus guttatus,Birds
Herodias Underwing,Catocala herodias,Underwing Moths
Herrington Fingernailclam,Sphaerium occidentale,Other Molluscs
Hesitandagger Moth,Acronicta modica,Other Moths
Hess'S Saddlecase Caddisfly,Agapetus hessi,Caddisflies
Hessel'S Hairstreak,Callophrys hesseli,Butterflies and Skippers
Hibiscus Bee Or Rose-Mallow Bee,Ptilothrix bombiformis,Chimney Bees (in part)
Hickory Hairstreak,Satyrium caryaevorus,Butterflies and Skippers
Hickory Shad,Alosa mediocris,"Fishes - Freshwater and Anadromous Bony, Cartilaginous; Lampreys"
High-Spire Column Snail,Columella simplex,Terrestrial Snails
Highback Chub,Hybopsis hypsinotus,"Fishes - Freshwater and Anadromous Bony, Cartilaginous; Lampreys"
Highfin Shiner,Hudsonius altipinnis,"Fishes - Freshwater and Anadromous Bony, Cartilaginous; Lampreys"
Highland Shiner,Notropis micropteryx,"Fishes - Freshwater and Anadromous Bony, Cartilaginous; Lampreys"
Highland Slitmouth,Stenotrema altispira,Terrestrial Snails
Highlands Springfly,Yugus arinus,Stoneflies
Hill Glyph,Glyphyalinia cumberlandiana,Terrestrial Snails
Hills Leafcutter Bee,Megachile montivaga,Leafcutter Bees
Hispid Cotton Rat,Sigmodon hispidus,Mammals
Hoary Edge,Thorybes lyciades,Butterflies and Skippers
Hoary Elfin,Callophrys polios,Butterflies and Skippers
Hoary Humpless Caddisfly,Brachycentrus incanus,Caddisflies
Hoary Leaf-Cutter Bee,Megachile pruina,Leafcutter Bees
Hobbs'S Small Minnow Mayfly,Procloeon rufostrigatum,Mayflies
Hobomok Skipper,Lon hobomok,Butterflies and Skippers
Hoffman'S Cave Beetle,Pseudanophthalmus hoffmani,Ground Beetles
Hoffman'S Isonychimayfly,Isonychia hoffmani,Mayflies
Hogchoker,Trinectes maculatus,"Fishes - Freshwater and Anadromous Bony, Cartilaginous; Lampreys"
Hollow Dome,Ventridens lasmodon,Terrestrial Snails
Hollow Free-Living Caddisfly,Rhyacophila parantra,Caddisflies
Hollow-Spotted Plagodis Moth,Plagodis alcoolaria,Other Moths
Holly Sallow,Metaxaglaea violacea,Other Moths
Holsinger'S Cave Beetle,Pseudanophthalmus holsingeri,Ground Beetles
Holsinger'S Cave Isopod,Pseudobaicalasellus holsingeri,Isopods
Holston Sallfly,Sweltsa holstonensis,Stoneflies
Honey Vertigo Snail,Vertigo tridentata,Terrestrial Snails
Honeysuckle Willowfly,Taeniopteryx lonicera,Stoneflies
Hooded Merganser,Lophodytes cucullatus,Birds
Hooded Warbler,Setophaga citrina,Birds
Hooked Silver Y Moth,Syngrapha alias,Other Moths
Hooked Willowfly,Taeniopteryx parvula,Stoneflies
Horace'S Duskywing,Erynnis horatius,Butterflies and Skippers
Horn'S Round Fungus Beetle,Nemadus hornii,Other Beetles
Horned Grebe,Podiceps auritus,Birds
Horned Lark,Eremophila alpestris,Birds
Hornfaced Bee,Osmia cornifrons,Mason Bees
Hornless Spiny Crawler Mayfly,Drunella lata,Mayflies
Horse,Equus caballus,Mammals
Hostile Leaf-Cutter Bee,Megachile inimica,Leafcutter Bees
House Finch,Haemorhous mexicanus,Birds
House Mouse,Mus musculus,Mammals
House Sparrow,Passer domesticus,Birds
Howden'S Copris,Copris howdeni,Other Beetles
Hubbard'S Cave Beetle,Pseudanophthalmus hubbardi,Ground Beetles
Hubbard'S Hourglass Beetle,Horologion hubbardi,Ground Beetles
Hubricht'S Cave Beetle,Pseudanophthalmus hubrichti,Ground Beetles
Huckleberry Sphinx,Paonias astylus,Sphinx Moths
Hudsonian Godwit,Limosa haemastica,Birds
Hummingbird Clearwing,Hemaris thysbe,Sphinx Moths
Humpback Dung Beetle,Deltochilum gibbosum,Other Beetles
Humpback Whale,Megaptera novaeangliae,Mammals
Humpless Casemaker Caddisfly,Brachycentrus nigrosoma,Caddisflies
Hupp'S Hill Cave Amphipod,Stygobromus hubbardi,Amphipods
Hupp'S Hill Cave Beetle,Pseudanophthalmus parvicollis,Ground Beetles
Hydrangesphinx,Darapsa versicolor,Sphinx Moths
Hydropsychid Caddisfly,Arctopsyche irrorata,Caddisflies
Ice Thorn Snail,Carychium exile,Terrestrial Snails
Iceland Gull,Larus glaucoides,Birds
Ignited Firefly,Photinus ignitus,Fireflies and Glow-worms
Ignorant Apamemoth,Apamea indocilis,Other Moths
Iliunderwing Moth,Catocala ilia,Underwing Moths
Illinois Snowfly,Allocapnia illinoensis,Stoneflies
Illinois Stone,Acroneuria filicis,Stoneflies
Immaculate Holomelinmoth,Virbia immaculata,Tiger Moths
Imperforate Glyph,Glyphyalinia solida,Terrestrial Snails
Imperial Moth,Eacles imperialis,Giant Silkworm and Royal Moths
Implicit Arches Moth,Lacinipolia implicata,Other Moths
Improper Net-Spinning Caddisfly,Hydropsyche incommoda,Caddisflies
Inconsolable Underwing,Catocala insolabilis,Underwing Moths
Inconspicuous Long-Horned Caddisfly,Oecetis inconspicua,Caddisflies
Incurved Cave Isopod,Pseudobaicalasellus incurvus,Isopods
Indian Skipper,Hesperia sassacus,Butterflies and Skippers
Indianmyotis,Myotis sodalis,Mammals
Indigo Bunting,Passerina cyanea,Birds
Indistinct Finger-Net Caddisfly,Chimarra obscura,Caddisflies
Inimical Northern Caddisfly,Nemotaulius hostilis,Caddisflies
Inland Silverside,Menidia beryllina,"Fishes - Freshwater and Anadromous Bony, Cartilaginous; Lampreys"
Inland Slitmouth,Stenotrema stenotrema,Terrestrial Snails
Intermediate Saddle-Case Caddisfly,Glossosoma intermedium,Caddisflies
Intermediate Siren,Siren intermedia,Amphibians
Intrepid Forestfly,Shipsa rotunda,Stoneflies
Io Moth,Automeris io,Giant Silkworm and Royal Moths
Ironcolor Shiner,Alburnops chalybaeus,"Fishes - Freshwater and Anadromous Bony, Cartilaginous; Lampreys"
Ironweed Borer Moth,Papaipema cerussata,Papaipema Moths
Iroquois Vallonisnail,Vallonia excentrica,Terrestrial Snails
Isabelltiger Moth,Pyrrharctia isabella,Tiger Moths
Ithacflat-Headed Mayfly,Maccaffertium ithaca,Mayflies
Jackman'S Microcaddisfly,Hydroptila jackmanni,Caddisflies
James Cave Amphipod,Stygobromus abditus,Amphipods
James Spinymussel,Parvaspina collina,Freshwater Mussels
Jane'S Stripetail,Diploperla janeae,Stoneflies
Jefferson Salamander,Ambystoma jeffersonianum,Amphibians
Johnny Darter,Etheostoma nigrum,"Fishes - Freshwater and Anadromous Bony, Cartilaginous; Lampreys"
Johnson'S Prong-Gilled Mayfly,Leptophlebia johnsoni,Mayflies
Joyful Holomelinmoth,Virbia laeta,Tiger Moths
Judith'S Underwing,Catocala judith,Underwing Moths
July Comets,Photuris lucicrescens,Fireflies and Glow-worms
Juniper Hairstreak,Callophrys gryneus,Butterflies and Skippers
Juvenal'S Duskywing,Erynnis juvenalis,Butterflies and Skippers
Kanawhblack-Bellied Salamander,Desmognathus kanawha,Amphibians
Kanawhdarter,Etheostoma kanawhae,"Fishes - Freshwater and Anadromous Bony, Cartilaginous; Lampreys"
Kanawhminnow,Phenacobius teretulus,"Fishes - Freshwater and Anadromous Bony, Cartilaginous; Lampreys"
Kanawhole Springfly,Diploperla kanawholensis,Stoneflies
Kanawhsculpin,Cottus kanawhae,"Fishes - Freshwater and Anadromous Bony, Cartilaginous; Lampreys"
Kemp'S Ridley Seturtle,Lepidochelys kempii,Turtles
Kentucky Lichen Moth,Cisthene kentuckiensis,Tiger Moths
Kentucky Warbler,Geothlypis formosa,Birds
