common_name,scientific_name,category
Atlantic Coast Slimy Salamander,Plethodon chlorobryonis,Amphibians
Atlantic Flat-Headed Mayfly,Cinygmula subaequalis,Mayflies
Atlantic Needlefish,Strongylura marina,"Fishes - Freshwater and Anadromous Bony, Cartilaginous; Lampreys"
Atlantic Needlefly,Leuctra duplicata,Stoneflies
Atlantic Pigtoe,Fusconaia masoni,Freshwater Mussels
Atlantic Sallfly,Alloperla atlantica,Stoneflies
Atlantic Slope Crayfish,Cambarus longulus,Crayfishes
Atlantic Stone,Neoperla occipitalis,Stoneflies
Atlantic Sturgeon,Acipenser oxyrinchus,"Fishes - Freshwater and Anadromous Bony, Cartilaginous; Lampreys"
Atlantic Threetooth,Triodopsis juxtidens,Terrestrial Snails
Atlantic Willowfly,Taenionema atlanticum,Stoneflies
Atlantis Fritillary,Argynnis atlantis,Butterflies and Skippers
Attentive Dart,Eueretagrotis attentus,Other Moths
Aureolariseed Borer,Pyrrhia aurantiago,Other Moths
Aurordamsel,Chromagrion conditum,Dragonflies and Damselflies
Aurorsnowfly,Allocapnia aurora,Stoneflies
Avernus Cave Beetle,Pseudanophthalmus avernus,Ground Beetles
Azalesphinx Moth,Darapsa choerilus,Sphinx Moths
Bachman'S Sparrow,Peucaea aestivalis,Birds
Bachman'S Warbler,Vermivora bachmanii,Birds
Backdoor Giant Caddisfly,Ptilostomis postica,Caddisflies
Bacon Cave Spring Isopod,Lirceus stygophilus,Isopods
Baffled Threetooth,Triodopsis fraudulenta,Terrestrial Snails
Baird'S Sandpiper,Calidris bairdii,Birds
Bald Eagle,Haliaeetus leucocephalus,Birds
Bald Free-Living Caddisfly,Rhyacophila glaberrima,Caddisflies
Balsam Globe,Mesodon andrewsae,Terrestrial Snails
Balsam Metarranthis Moth,Metarranthis amyrisaria,Other Moths
Baltimore Bomolochmoth,Hypena baltimoralis,Other Moths
Baltimore Checkerspot,Euphydryas phaeton,Butterflies and Skippers
Baltimore Oriole,Icterus galbula,Birds
Banded Darter,Etheostoma zonale,"Fishes - Freshwater and Anadromous Bony, Cartilaginous; Lampreys"
Banded Hairstreak,Satyrium calanus,Butterflies and Skippers
Banded Killifish,Fundulus diaphanus,"Fishes - Freshwater and Anadromous Bony, Cartilaginous; Lampreys"
Banded Microcaddisfly,Hydroptila gunda,Caddisflies
Banded Mysterysnail,Callinina georgiana,Freshwater Snails
Banded Pennant,Celithemis fasciata,Dragonflies and Damselflies
Banded Sculpin,Cottus carolinae,"Fishes - Freshwater and Anadromous Bony, Cartilaginous; Lampreys"
Banded Sunfish,Enneacanthus obesus,"Fishes - Freshwater and Anadromous Bony, Cartilaginous; Lampreys"
Banded Tussock Moth,Halysidota tessellaris,Tiger Moths
Bank Swallow,Riparia riparia,Birds
Banks' Epeolus,Epeolus banksi,Other Bees
Banks'S Free-Living Caddisfly,Rhyacophila banksi,Caddisflies
Banks'S Prong-Gilled Mayfly,Choroterpes basalis,Mayflies
Banks'S Trumpet-Net Caddisfly,Nyctiophylax banksi,Caddisflies
Bark Beetle,Sosylus costatus,Other Beetles
Bark Snaggletooth Snail,Gastrocopta corticaria,Terrestrial Snails
Barking Treefrog,Dryophytes gratiosus,Amphibians
Barn Swallow,Hirundo rustica,Birds
Barred Itame,Macaria subcessaria,Other Moths
Barred Owl,Strix varia,Birds
Barred Supercoil,Paravitrea seradens,Terrestrial Snails
Barrens Chaetaglaea,Chaetaglaea rhonda,Other Moths
Barrens Dagger Moth,Acronicta albarufa,Other Moths
Barrens Itame,Macaria exonerata,Other Moths
Barrens Moth,Properigea costa,Other Moths
Bath County Cave Amphipod,Stygobromus mundus,Amphipods
Bay Anchovy,Anchoa mitchilli,"Fishes - Freshwater and Anadromous Bony, Cartilaginous; Lampreys"
Bay-Breasted Warbler,Setophaga castanea,Birds
Bayou Physa,Physella hendersoni,Freshwater Snails
Bear-Like Digger Bee,Anthophora ursina,Digger Bees
Beautiful Eutelia,Marathyssa pulcherrimus,Other Moths
Beautiful Free-Living Caddisfly,Rhyacophila formosa,Caddisflies
Beautiful Little Caddisfly,Neophylax concinnus,Caddisflies
Beautiful Microcaddisfly,Hydroptila callia,Caddisflies
